time_s,time_index,theta_deg,velocity
8.98032,4240.0,0.0,
9.014208,4256.0,0.0,
9.048096,4272.0,0.0,
9.081984,4288.0,0.0,
9.115872,4304.0,0.0,
9.14976,4320.0,0.0,
9.183648,4336.0,0.0,
9.217536,4352.0,0.0,
9.251424,4368.0,0.0,
9.285312,4384.0,0.0,
9.3192,4400.0,0.0,
9.353088,4416.0,0.0,
9.386976,4432.0,0.0,
9.420864,4448.0,0.0,
9.454752,4464.0,174.0,-2222.3134144238775
9.48864,4480.0,0.0,
9.522528,4496.0,0.0,
9.556416,4512.0,0.0,
9.590304,4528.0,0.0,
9.624192,4544.0,0.0,
9.65808,4560.0,0.0,
9.691968,4576.0,0.0,
9.725856,4592.0,0.0,
9.759744,4608.0,0.0,
9.793632,4624.0,0.0,
9.82752,4640.0,0.0,
9.861408,4656.0,0.0,
9.895296,4672.0,0.0,
9.929184,4688.0,0.0,
9.963072,4704.0,0.0,
9.99696,4720.0,0.0,
10.030848,4736.0,0.0,
10.064736,4752.0,0.0,
10.098624,4768.0,0.0,
10.132512,4784.0,0.0,
10.1664,4800.0,0.0,
10.200288,4816.0,0.0,
10.234176,4832.0,0.0,
10.268064,4848.0,0.0,
10.301952,4864.0,0.0,
10.33584,4880.0,0.0,
10.369728,4896.0,0.0,
10.403616,4912.0,0.0,
10.437504,4928.0,0.0,
10.471392,4944.0,0.0,
10.50528,4960.0,0.0,
10.539168,4976.0,0.0,
10.573056,4992.0,0.0,
10.606944,5008.0,0.0,
10.640832,5024.0,0.0,
10.67472,5040.0,0.0,
10.708608,5056.0,0.0,
10.742496,5072.0,0.0,
10.776384,5088.0,0.0,
10.810272,5104.0,0.0,
10.84416,5120.0,0.0,
10.878048,5136.0,0.0,
10.911936,5152.0,0.0,
10.945824,5168.0,0.0,
10.979712,5184.0,0.0,
11.0136,5200.0,0.0,
11.047488,5216.0,0.0,
11.081376,5232.0,0.0,
11.115264,5248.0,0.0,
11.149152,5264.0,0.0,
11.18304,5280.0,0.0,
11.216928,5296.0,0.0,
11.250816,5312.0,0.0,
11.284704,5328.0,0.0,
11.318592,5344.0,0.0,
11.35248,5360.0,0.0,
11.386368,5376.0,0.0,
11.420256,5392.0,0.0,
11.454144,5408.0,0.0,
11.488032,5424.0,0.0,
11.52192,5440.0,0.0,
11.555808,5456.0,0.0,
11.589696,5472.0,0.0,
11.623584,5488.0,0.0,
11.657472,5504.0,0.0,
11.69136,5520.0,4.25,3143.125228245733
11.725248,5536.0,0.0,
11.759136,5552.0,177.75,-5944.8693254534055
11.793024,5568.0,0.0,
11.826912,5584.0,0.0,
11.8608,5600.0,0.0,
11.894688,5616.0,0.0,
11.928576,5632.0,0.0,
11.962464,5648.0,0.0,
11.996352,5664.0,0.0,
12.03024,5680.0,2.5,5349.736775797833
12.064128,5696.0,2.25,5944.869325453391
12.098016,5712.0,0.0,
12.131904,5728.0,0.0,
12.165792,5744.0,0.0,
12.19968,5760.0,0.0,
12.233568,5776.0,0.0,
12.267456,5792.0,0.0,
12.301344,5808.0,0.0,
12.335232,5824.0,0.0,
12.36912,5840.0,0.0,
12.403008,5856.0,0.0,
12.436896,5872.0,0.0,
12.470784,5888.0,0.0,
12.504672,5904.0,0.0,
12.53856,5920.0,0.0,
12.572448,5936.0,0.0,
12.606336,5952.0,0.0,
12.640224,5968.0,0.0,
12.674112,5984.0,0.0,
12.708,6000.0,0.0,
12.741888,6016.0,0.0,
12.775776,6032.0,0.0,
12.809664,6048.0,0.0,
12.843552,6064.0,0.0,
12.87744,6080.0,0.0,
12.911328,6096.0,0.0,
12.945216,6112.0,0.0,
12.979104,6128.0,0.0,
13.012992,6144.0,0.0,
13.04688,6160.0,0.0,
13.080768,6176.0,0.0,
13.114656,6192.0,0.0,
13.148544,6208.0,0.0,
13.182432,6224.0,0.0,
13.21632,6240.0,177.75,-5944.8693254534055
13.250208,6256.0,0.0,
13.284096,6272.0,2.25,5944.869325453391
13.317984,6288.0,2.0,6688.7000299026495
13.351872,6304.0,0.0,
13.38576,6320.0,0.0,
13.419648,6336.0,0.0,
13.453536,6352.0,0.0,
13.487424,6368.0,0.0,
13.521312,6384.0,0.0,
13.5552,6400.0,0.0,
13.589088,6416.0,0.0,
13.622976,6432.0,0.0,
13.656864,6448.0,0.0,
13.690752,6464.0,0.0,
13.72464,6480.0,0.0,
13.758528,6496.0,0.0,
13.792416,6512.0,0.0,
13.826304,6528.0,0.0,
13.860192,6544.0,0.0,
13.89408,6560.0,0.0,
13.927968,6576.0,0.0,
13.961856,6592.0,0.0,
13.995744,6608.0,0.0,
14.029632,6624.0,0.0,
14.06352,6640.0,0.0,
14.097408,6656.0,0.0,
14.131296,6672.0,0.0,
14.165184,6688.0,0.0,
14.199072,6704.0,0.0,
14.23296,6720.0,0.0,
14.266848,6736.0,0.0,
14.300736,6752.0,0.0,
14.334624,6768.0,0.0,
14.368512,6784.0,0.0,
14.4024,6800.0,0.0,
14.436288,6816.0,177.75,-5944.8693254534055
14.470176,6832.0,178.0,-6688.700029902616
14.504064,6848.0,0.0,
14.537952,6864.0,0.0,
14.57184,6880.0,0.0,
14.605728,6896.0,0.0,
14.639616,6912.0,0.0,
14.673504,6928.0,0.0,
14.707392,6944.0,177.75,-5944.8693254534055
14.74128,6960.0,0.0,
14.775168,6976.0,0.0,
14.809056,6992.0,0.0,
14.842944,7008.0,0.0,
14.876832,7024.0,0.0,
14.91072,7040.0,0.0,
14.944608,7056.0,0.0,
14.978496,7072.0,0.0,
15.012384,7088.0,0.0,
15.046272,7104.0,177.5,-5349.736775797824
15.08016,7120.0,178.0,-6688.700029902616
15.114048,7136.0,0.0,
15.147936,7152.0,0.0,
15.181824,7168.0,0.0,
15.215712,7184.0,0.0,
15.2496,7200.0,0.0,
